fish_id,stage,site,reef,birth_date,pelagic_larval_duration,birth_lunar_day,birth_lunar_month,birth_lunar_phase,birth_moon_first_half,birth_moon_second_half
333,settler,VME,76,2017-01-18,42,21,1163,pleine_lune,0.086111111,1
334,settler,VME,NA,2016-12-29,54,1,1163,nouvelle_lune,0.186111111,0.022222222
335,settler,VME,NA,2017-01-06,45,9,1163,premier_quartier,1,0.183333333
342,settler,VOW,NA,2017-01-20,45,23,1163,dernier_quartier,0,0.980555556
344,settler,VOW,NA,2017-01-12,44,15,1163,pleine_lune,0.813888889,1
345,settler,VOW,NA,2017-01-08,51,11,1163,premier_quartier,1,0.519444444
347,settler,VOW,NA,2017-01-15,46,18,1163,pleine_lune,0.416666667,1
348,settler,VOW,NA,2017-01-15,48,18,1163,pleine_lune,0.416666667,1
350,settler,VOE,NA,2017-01-04,52,7,1163,premier_quartier,0.933333333,0
351,settler,VOE,60,2017-01-19,48,22,1163,dernier_quartier,0.030555556,1
352,settler,VOE,NA,2017-01-11,48,14,1163,premier_quartier,0.969444444,1
353,settler,VOE,NA,2017-01-13,46,16,1163,pleine_lune,0.669444444,1
354,settler,VOE,NA,2017-01-06,44,9,1163,premier_quartier,1,0.183333333
355,settler,VME,NA,2017-01-07,44,10,1163,premier_quartier,1,0.347222222
356,settler,VME,NA,2017-01-14,45,17,1163,pleine_lune,0.536111111,1
357,settler,VME,NA,2017-01-04,48,7,1163,premier_quartier,0.933333333,0
358,settler,VME,NA,2017-01-05,48,8,1163,premier_quartier,0.994444444,0.022222222
359,settler,VMW,NA,2017-01-01,49,4,1163,nouvelle_lune,0.572222222,0
363,settler,VMW,NA,2017-01-09,47,12,1163,premier_quartier,1,0.691666667
364,settler,VMW,NA,2017-01-10,43,13,1163,premier_quartier,1,0.863888889
365,settler,VMW,NA,2017-01-20,40,23,1163,dernier_quartier,0,0.980555556
366,settler,VMW,NA,2017-01-06,44,9,1163,premier_quartier,1,0.183333333
369,settler,TOM,NA,2017-01-20,39,23,1163,dernier_quartier,0,0.980555556
371,settler,TOM,NA,2017-01-18,45,21,1163,pleine_lune,0.086111111,1
376,settler,TOM,NA,2017-01-15,47,18,1163,pleine_lune,0.416666667,1
378,settler,TOM,56,2017-01-15,45,18,1163,pleine_lune,0.416666667,1
379,settler,MOM,NA,2017-01-16,45,19,1163,pleine_lune,0.302777778,1
380,settler,MOM,NA,2017-01-02,52,5,1163,nouvelle_lune,0.691666667,0
381,settler,MOM,NA,2017-01-21,43,24,1163,dernier_quartier,0,0.869444444
382,settler,MOM,NA,2017-01-15,46,18,1163,pleine_lune,0.416666667,1
384,settler,TMM,NA,2017-01-23,42,26,1163,dernier_quartier,0,0.636111111
385,settler,TMM,NA,2017-01-24,42,27,1163,dernier_quartier,0,0.508333333
