fish_id,stage,site,reef,birth_date,pelagic_larval_duration,birth_lunar_day,birth_lunar_month,birth_lunar_phase,birth_moon_first_half,birth_moon_second_half
937,settler,MOM,82,2017-04-10,44,14,1166,premier_quartier,1,0.986111111
940,settler,MMM,111,2017-04-05,49,9,1166,premier_quartier,1,0.405555556
941,settler,MMM,111,2017-04-09,46,13,1166,premier_quartier,1,0.877777778
945,settler,MMM,102,2017-04-01,52,5,1166,nouvelle_lune,0.733333333,0
948,settler,MMM,112,2017-03-30,57,3,1166,nouvelle_lune,0.430555556,0
949,settler,MMM,112,2017-04-09,47,13,1166,premier_quartier,1,0.877777778
950,settler,TMM,125,2017-04-14,42,18,1166,pleine_lune,0.561111111,1
951,settler,TMM,132,2017-04-07,48,11,1166,premier_quartier,1,0.655555556
957,settler,TMM,NA,2017-04-06,46,10,1166,premier_quartier,1,0.536111111
959,settler,TMM,127,2017-04-06,48,10,1166,premier_quartier,1,0.536111111
960,settler,TMM,NA,2017-04-12,44,16,1166,pleine_lune,0.794444444,1
965,settler,VOE,44,2017-04-04,56,8,1166,premier_quartier,1,0.269444444
